concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.2,0.9,0.1,0.65,6,300,10,6,0.16154106151764056,0.13666019619405026,0.01624147953293797
0.2,0.9,0.1,0.65,6,300,11,5,0.17268747254628575,0.14803259227821491,0.05310315715815909
0.2,0.9,0.1,0.65,6,300,12,6,0.16981815660237087,0.17052089842639973,0.14627077040848915
0.2,0.9,0.1,0.65,6,300,13,2,0.3200974423149451,0.2615822316571637,0.06950403608638084
0.2,0.9,0.1,0.65,6,300,14,6,0.26098953837733396,0.17130878416402895,0.13661831213977543
0.2,0.9,0.1,0.65,6,300,15,6,0.23026044470996687,0.20076159512507794,0.010547836922233307
0.2,0.9,0.1,0.65,6,300,16,1,0.2692204759222791,0.2477885779344043,0.06091015138475042
0.2,0.9,0.1,0.65,6,300,17,2,0.16724380005197276,0.1977412280701754,0.14551111111111112
0.2,0.9,0.1,0.65,6,300,18,6,0.22795015071721467,0.18425462064023035,0.05904751496030877
0.2,0.9,0.1,0.65,6,300,19,1,0.2845515481998693,0.2289044465468307,0.05573068607435588
0.2,0.9,0.1,0.65,6,300,20,2,0.22202526004217354,0.22014333562460217,0.16002842557141198
0.2,0.9,0.1,0.65,6,300,21,2,0.33200903656342307,0.22534689732350338,0.148122096948969
0.2,0.9,0.1,0.65,6,300,22,5,0.2467952193319995,0.21592357375329896,0.009016749703398089
0.2,0.9,0.1,0.65,6,300,23,1,0.28417546797410226,0.2951664813230492,0.15158474873060987
0.2,0.9,0.1,0.75,6,300,0,4,0.1512308065687496,0.15182315815098088,0.014371811224489795
0.2,0.9,0.1,0.75,6,300,1,6,0.11492906572656798,0.1033180939878502,0.009475830362761194
0.2,0.9,0.1,0.75,6,300,2,6,0.16143204493451271,0.15004520625086132,0.14196638922915664
0.2,0.9,0.1,0.75,6,300,3,6,0.1767363399138164,0.16735128617744666,0.00824306396029171
0.2,0.9,0.1,0.75,6,300,4,6,0.11836944557165852,0.1052791810181846,0.014830430741832669
0.2,0.9,0.1,0.75,6,300,5,5,0.10371947703400271,0.10680682272827566,0.10221280207608385
0.2,0.9,0.1,0.75,6,300,6,6,0.10056406467923157,0.09443399577545009,0.009695808724585352
0.2,0.9,0.1,0.75,6,300,7,6,0.12053092917111045,0.09729846070521471,0.007839887661676486
0.2,0.9,0.1,0.75,6,300,8,5,0.13599638458050708,0.14419127925364178,0.14619013910294257
0.2,0.9,0.1,0.75,6,300,9,6,0.2060769838938766,0.14859891197989963,0.010939342316150742
0.2,0.9,0.1,0.75,6,300,10,6,0.13598984328596667,0.12011130739461935,0.00632725439999868
0.2,0.9,0.1,0.75,6,300,11,6,0.0889881961893525,0.08307979226795427,0.023943300941856593
0.2,0.9,0.1,0.75,6,300,12,6,0.20647774150642695,0.12678724428879765,0.00947891076088166
0.2,0.9,0.1,0.75,6,300,13,5,0.1914705454558906,0.12434491329574963,0.05367465313511088
0.2,0.9,0.1,0.75,6,300,14,6,0.14614972484640062,0.12894920761418724,0.04663910856937583
0.2,0.9,0.1,0.75,6,300,15,6,0.10360900046378718,0.107452042288739,0.010215139875032628
0.2,0.9,0.1,0.75,6,300,16,6,0.12238901462920154,0.1473583261536633,0.008868974408222373
0.2,0.9,0.1,0.75,6,300,17,2,0.16913152220210503,0.14542950315893705,0.1044888888888889
0.2,0.9,0.1,0.75,6,300,18,6,0.15308398865392617,0.1370175996741804,0.04493210028733533
0.2,0.9,0.1,0.75,6,300,19,5,0.16457038892521336,0.12475612585075813,0.04205182246576291
